arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
piccolo/apps/migrations/commands/new.py,funcao,_create_new_migration,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/apps/migrations/commands/new.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/commands/new.py,funcao,get_alter_statements,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/commands/new.py,funcao,new,3,6,5,9,9,14,20.2647,44.379,2.25,99.8526,5.5474,0.0148
piccolo/apps/migrations/commands/base.py,funcao,create_migration_table,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
piccolo/apps/migrations/commands/base.py,funcao,get_migration_modules,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
piccolo/apps/migrations/commands/base.py,funcao,get_migration_ids,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/commands/base.py,funcao,get_migration_managers,4,5,4,8,9,12,19.6096,38.0391,3.2,121.7251,6.7625,0.0127
piccolo/apps/migrations/commands/base.py,funcao,get_table_from_snapshot,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/commands/backwards.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/commands/backwards.py,funcao,run_migrations_backwards,7,16,12,21,23,33,83.6515,149.2775,4.5938,685.7437,38.0969,0.0498
piccolo/apps/migrations/commands/backwards.py,funcao,run,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/commands/backwards.py,funcao,run_backwards,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
piccolo/apps/migrations/commands/backwards.py,funcao,backwards,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
piccolo/apps/migrations/commands/clean.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/commands/clean.py,funcao,get_migration_ids_to_remove,2,3,2,4,5,6,6.7549,13.9316,1.3333,18.5754,1.032,0.0046
piccolo/apps/migrations/commands/clean.py,funcao,run,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/apps/migrations/commands/clean.py,funcao,clean,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/commands/forwards.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/commands/forwards.py,funcao,_get_migration_subset,2,5,3,6,7,9,13.6096,25.2662,1.2,30.3194,1.6844,0.0084
piccolo/apps/migrations/commands/forwards.py,funcao,_run_single_migration,2,2,2,3,4,5,4.0,10.0,1.5,15.0,0.8333,0.0033
piccolo/apps/migrations/commands/forwards.py,funcao,run_migrations,4,7,6,11,11,17,27.6515,58.8103,3.1429,184.8325,10.2685,0.0196
piccolo/apps/migrations/commands/forwards.py,funcao,run,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/commands/forwards.py,funcao,run_forwards,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
piccolo/apps/migrations/commands/forwards.py,funcao,forwards,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
piccolo/apps/migrations/commands/check.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/commands/check.py,funcao,get_migration_statuses,3,6,4,8,9,12,20.2647,38.0391,2.0,76.0782,4.2266,0.0127
piccolo/apps/migrations/commands/check.py,funcao,have_ran_count,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/commands/check.py,funcao,havent_ran_count,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
piccolo/apps/migrations/commands/check.py,funcao,run,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/commands/check.py,funcao,check,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/auto/schema_differ.py,funcao,append,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/auto/schema_differ.py,funcao,old_class_names,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/auto/schema_differ.py,funcao,new_class_names,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/auto/schema_differ.py,funcao,was_renamed_from,1,1,1,2,2,3,0,3.0,1.0,3.0,0.1667,0.001
piccolo/apps/migrations/auto/schema_differ.py,funcao,renamed_from,1,1,1,2,2,3,0,3.0,1.0,3.0,0.1667,0.001
piccolo/apps/migrations/auto/schema_differ.py,funcao,for_table_class_name,1,1,1,2,2,3,0,3.0,1.0,3.0,0.1667,0.001
piccolo/apps/migrations/auto/schema_differ.py,funcao,old_column_names,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/auto/schema_differ.py,funcao,new_column_names,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/auto/schema_differ.py,funcao,extend,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/auto/schema_differ.py,funcao,__post_init__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/auto/schema_differ.py,funcao,check_rename_tables,6,16,10,20,22,30,79.5098,133.7829,3.75,501.6861,27.8714,0.0446
piccolo/apps/migrations/auto/schema_differ.py,funcao,check_table_schema_changes,2,2,2,3,4,5,4.0,10.0,1.5,15.0,0.8333,0.0033
piccolo/apps/migrations/auto/schema_differ.py,funcao,check_renamed_columns,6,12,8,13,18,21,58.5293,87.5684,3.25,284.5974,15.811,0.0292
piccolo/apps/migrations/auto/schema_differ.py,funcao,_stringify_func,2,5,3,6,7,9,13.6096,25.2662,1.2,30.3194,1.6844,0.0084
piccolo/apps/migrations/auto/schema_differ.py,funcao,create_tables,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
piccolo/apps/migrations/auto/schema_differ.py,funcao,drop_tables,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
piccolo/apps/migrations/auto/schema_differ.py,funcao,rename_tables,0,0,0,0,0,0,0,0,0,0,0,0
