arquivo,loc,lloc,sloc,comments,multi,blank,single_comments
piccolo/apps/playground/commands/run.py,473,203,373,3,27,70,3
piccolo/engine/postgres.py,598,292,398,21,58,123,19
piccolo/query/methods/alter.py,654,356,416,8,88,147,3
piccolo/conf/apps.py,683,313,418,9,134,124,7
piccolo/query/methods/objects.py,620,292,445,27,27,122,26
piccolo/engine/sqlite.py,849,388,496,42,135,181,37
piccolo/apps/migrations/auto/schema_differ.py,706,309,527,43,31,112,36
piccolo/query/mixins.py,874,521,544,7,115,210,5
piccolo/query/methods/select.py,824,432,642,17,29,145,8
piccolo/apps/migrations/auto/serialisation.py,916,420,659,25,42,189,26
piccolo/columns/base.py,1161,531,677,38,234,217,33
piccolo/apps/schema/commands/generate.py,1175,489,885,25,100,178,12
piccolo/apps/migrations/auto/migration_manager.py,1143,453,912,35,51,146,34
piccolo/table.py,1883,684,918,57,527,389,49
piccolo/columns/column_types.py,3026,1040,1440,144,673,785,128
TOTAL,26692,11461,16904,797,3792,5365,631
